,Open Price,High Price,Low Price,Last Price,Intra day range ,overnight,Volume,Volatility 30 Day,Price Change 1 Day Percent
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Intra day range ,overnight,PX_VOLUME,VOLATILITY_30D,CHG_PCT_1D
9/13/1928,21.14,21.14,21.14,21.14,0,0,#N/A N/A,11.23,0.48
9/14/1928,21.14,21.14,21.14,21.14,0,0,#N/A N/A,11.41,-0.62
9/17/1928,21.33,21.33,21.33,21.33,0,0,#N/A N/A,11.49,0.72
9/18/1928,21.18,21.18,21.18,21.18,0,0,#N/A N/A,11.88,-0.81
9/19/1928,21.18,21.18,21.18,21.18,0,0,#N/A N/A,11.93,0.76
9/20/1928,21.22,21.22,21.22,21.22,0,0,#N/A N/A,11.69,0.38
9/21/1928,21.36,21.36,21.36,21.36,0,0,#N/A N/A,11.75,-0.09
9/24/1928,21.43,21.43,21.43,21.43,0,0,#N/A N/A,11.5,0
9/25/1928,21.41,21.41,21.41,21.41,0,0,#N/A N/A,11.4,0.9
9/26/1928,21.4,21.4,21.4,21.4,0,0,#N/A N/A,10.8,-0.7
9/27/1928,21.13,21.13,21.13,21.13,0,0,#N/A N/A,10.85,0
9/28/1928,21.14,21.14,21.14,21.14,0,0,#N/A N/A,10.7,0.19
10/1/1928,21.36,21.36,21.36,21.36,0,0,#N/A N/A,10.73,0.66
10/2/1928,21.26,21.26,21.26,21.26,0,0,#N/A N/A,10.04,0.33
10/3/1928,21.19,21.19,21.19,21.19,0,0,#N/A N/A,9.19,-0.09
10/4/1928,21.26,21.26,21.26,21.26,0,0,#N/A N/A,9.18,-0.05
10/5/1928,21.22,21.22,21.22,21.22,0,0,#N/A N/A,10.36,-1.26
10/8/1928,21.11,21.11,21.11,21.11,0,0,#N/A N/A,10.3,0.05
10/9/1928,21.18,21.18,21.18,21.18,0,0,#N/A N/A,10.11,1.04
10/10/1928,21.41,21.41,21.41,21.41,0,0,#N/A N/A,10.29,-0.47
10/11/1928,21.51,21.51,21.51,21.51,0,0,#N/A N/A,10.42,-0.33
10/15/1928,21.65,21.65,21.65,21.65,0,0,#N/A N/A,9.48,0.33
10/16/1928,21.72,21.72,21.72,21.72,0,0,#N/A N/A,9.53,-0.19
10/17/1928,21.79,21.79,21.79,21.79,0,0,#N/A N/A,9.52,-0.52
10/18/1928,21.84,21.84,21.84,21.84,0,0,#N/A N/A,9.54,0.33
10/19/1928,21.96,21.96,21.96,21.96,0,0,#N/A N/A,10,1.09
10/22/1928,21.81,21.81,21.81,21.81,0,0,#N/A N/A,9.42,0.47
10/23/1928,21.95,21.95,21.95,21.95,0,0,#N/A N/A,9.53,#N/A N/A
10/24/1928,21.99,21.99,21.99,21.99,0,0,#N/A N/A,9.5,0.65
10/25/1928,21.91,21.91,21.91,21.91,0,0,#N/A N/A,9.45,0.32
10/26/1928,21.65,21.65,21.65,21.65,0,0,#N/A N/A,9.19,0.32
10/29/1928,22,22,22,22,0,0,#N/A N/A,9.02,0.23
10/30/1928,21.76,21.76,21.76,21.76,0,0,#N/A N/A,8.6,0.55
10/31/1928,21.68,21.68,21.68,21.68,0,0,#N/A N/A,8.78,-0.68
11/1/1928,21.99,21.99,21.99,21.99,0,0,#N/A N/A,8.88,0.64
11/2/1928,21.95,21.95,21.95,21.95,0,0,#N/A N/A,8.86,0.18
11/5/1928,22.24,22.24,22.24,22.24,0,0,#N/A N/A,8.98,-0.36
11/6/1928,22.5,22.5,22.5,22.5,0,0,#N/A N/A,9.5,-1.19
11/8/1928,22.39,22.39,22.39,22.39,0,0,#N/A N/A,10.3,1.62
11/9/1928,22.55,22.55,22.55,22.55,0,0,#N/A N/A,10.96,-1.09
11/12/1928,22.84,22.84,22.84,22.84,0,0,#N/A N/A,11.05,-0.37
11/13/1928,22.91,22.91,22.91,22.91,0,0,#N/A N/A,11.66,1.43
11/14/1928,22.91,22.91,22.91,22.91,0,0,#N/A N/A,11.67,-0.18
11/15/1928,23.03,23.03,23.03,23.03,0,0,#N/A N/A,12.23,1.32
11/16/1928,23.37,23.37,23.37,23.37,0,0,#N/A N/A,12.61,1.17
11/19/1928,23.37,23.37,23.37,23.37,0,0,#N/A N/A,11.97,#N/A N/A
